seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
4bfc7a4a1cf8d4d2121c27422d9e50b5,Early,39,29,6,6929.34
ade45994b717ccee333492330fbf037b,Early,10,10,0,6912.37
813348c996469b40f2e028d5429d3495,Early,181,136,28,6859.90000000001
67883baaae6134ee81b271a542613728,Early,14,10,2,6852.28
54065e9aef7e9e9c2dc23b7594db021a,Early,12,10,1,6836.22
b499c00f28f4b7069ff6550af8c1348a,Early,159,134,12,6810.49
fdb9095204a334cd8872252ffec6f2db,Early,59,50,6,6803.92
0db783cfcd3b73998abc6e10e59a102f,Early,130,109,13,6794.80999999999
3bb548e3cb7f70f28e3f11ee9dce0e59,Early,53,40,9,6793.23
aaed1309374718fdd995ee4c58c9dfcd,Early,108,85,13,6784.69
3db66a856d18a9cba7c9241fc5221c50,Early,86,74,6,6784.66
52d76513f0c4d97f3b99570e2c94ee31,Early,24,15,2,6778.53
52f976b17ea7f2f087f56dcc419328f6,Early,6,3,2,6767.35
6c177e38df6d3f34182b1f1d427231bf,Early,52,45,6,6722.64
33a17d60c64393351ebf1ef860f4e0f2,Early,46,42,0,6719.2
5b8154610ebb21fb90eb587365e673df,Early,33,29,2,6702.01
fcb5ace8bcc92f75707dc0f01a27d269,Early,67,50,9,6701.78
7d456afc660226829370f3173d14520c,Early,86,78,5,6652.61
257e61d3251fb5efb9daadddbc2cf7ca,Early,12,11,0,6651.82
048c2757535328e0d7dac690ad3c0aae,Early,42,39,1,6632.53
87e24fc7052259b1f7f607d61c10d8be,Early,6,5,0,6617.64
73a63f72308aa20a46f4b1632018f196,Early,34,28,2,6617.14
679769a98cfcc6da877c8486ff1c13f3,Early,21,19,1,6590.61
31344c16881c08a8a72c6d2eb29918c1,Early,39,35,2,6584.7
8d956fec2e4337affcb520f56fd8cbfd,Early,197,164,16,6580.07000000001
5343d0649eca2a983820bfe93fc4d17e,Early,98,63,29,6566.37
750303a20e9c56b2a6bc45cdce0b897d,Early,53,47,4,6542.41
e3b4998c7a498169dc7bce44e6bb6277,Early,1,1,0,6540.69
b8630e1121437d41cb08e3c749c2c2e2,Early,10,9,1,6512.28
8e8a7ce9f2f970dc00e2acf6f6e199f6,Early,55,44,5,6499.08
e0a366315b1b726b6c7832d664c0f530,Early,49,41,7,6479.98
5b925e1d006e9476d738aa200751b73b,Early,60,58,1,6447.95
624f4ece8da4aafb77699233d480f8ef,Early,48,39,5,6441.45
33dd941c27854f7625b968cc6195a552,Early,5,4,1,6406.59
058fd0aa2bfdb2274e05e1ae971dabb6,Early,59,53,4,6361.01
85d9eb9ddc5d00ca9336a2219c97bb13,Early,486,407,35,6343.88000000002
01cf7e3d21494c41fb86034f2e714fa1,Early,59,50,4,6299.28
455c5640e8c5bd1b2ee85c0158f85727,Early,8,7,0,6272.11
ee27a8f15b1dded4d213a468ba4eb391,Early,1,1,0,6271.34
40d54b51e962dbe09cabbcfd33298dee,Early,31,23,7,6247.87
42bde9fef835393bb8a8849cb6b7f245,Early,38,31,3,6247.48
aafe36600ce604f205b86b5084d3d767,Early,120,108,7,6220.53
f1fd5ab1181f827ffad998c1a5de7d74,Early,15,15,0,6214.02
725c32fa80c2faacc4fc88450d27314e,Early,88,81,2,6204.74
b410bdd36d5db7a65dcd42b7ead933b8,Early,40,40,0,6196.94
0ea22c1cfbdc755f86b9b54b39c16043,Early,261,219,19,6193.45000000001
4e17c65a516f69d023a2ae78b84f28d6,Early,66,54,8,6155.87
8476243f92442881ddd5b578975cf115,Early,10,8,1,6149.65
db2956745b3a8e9f3785c99f34b5d25e,Early,39,29,8,6142.03
b347677812ea483b0f528eaf8cbc09b7,Early,20,18,1,6129.49
4a3ca9315b744ce9f8e9374361493884,Very Late,76,48,16,6124.17
